grid,qtr,yr,fat,events,temp,x,precip,gdpg,gdp,ag,lstock,tlag1q,plag1yr,lat,long,tlag1yr,plag1yr,nights,lstock2,adjTmp,adjPrecip,fatn,
66,1,1997,1,1,27.39999962,12,138,0.028022564,21789097.84,3611905.26,512461.13,26.89999962,113.2000046,190,372,28.10000038,154.4000092,0.0819265,512461.13,-2.350680857,113.438261,1,0
66,2,1997,[],[],25.39999962,[],323.1000061,0.028022564,21789097.84,3611905.26,512461.13,27.60000038,5.200000286,190,372,25.89999962,218.5,0.0819265,512461.13,-2.780485711,167.6872302,0,0
66,3,1997,0,2,26.10000038,12,260.5,0.028022564,21789097.84,3611905.26,512461.13,26.39999962,282.6000061,190,372,25.20000076,368.8000183,0.0819265,512461.13,-0.451862768,52.31939357,0,0
66,4,1997,[],[],27.10000038,[],69.90000153,0.028022564,21789097.84,3611905.26,512461.13,25,239.1000061,190,372,27.20000076,45.90000153,0.0819265,512461.13,1.952868119,65.94595063,0,0
66,1,1998,31,1,29.20000076,12,113.8000031,0.024956015,22332866.9,3752769.63,526297.84,26.89999962,141.9000092,190,372,27.39999962,138,0.0890398,526297.84,-0.550679717,89.23826415,31,1
66,2,1998,[],[],26.39999962,[],309,0.024956015,22332866.9,3752769.63,526297.84,28.80000114,51.5,190,372,25.39999962,323.1000061,0.0890398,526297.84,-1.780485711,153.5872241,0,0
66,3,1998,0,1,25.80000114,12,270.2000122,0.024956015,22332866.9,3752769.63,526297.84,27.60000038,259.3000183,190,372,26.10000038,260.5,0.0890398,526297.84,-0.751862008,62.01940577,0,0
66,4,1998,7,3,27.30000114,12,35.10000229,0.024956015,22332866.9,3752769.63,526297.84,25.20000076,130.1999969,190,372,27.10000038,69.90000153,0.0890398,526297.84,2.152868879,31.14595139,7,0
66,1,1999,19,1,27.80000114,12,101,0.005218444,22449409.72,3949415.21,541034.01,27.5,104.2000046,190,372,29.20000076,113.8000031,0.0655456,541034.01,-1.950679337,76.43826105,19,1
66,2,1999,7,2,26.5,12,235,0.005218444,22449409.72,3949415.21,541034.01,27.70000076,62.40000153,190,372,26.39999962,309,0.0655456,541034.01,-1.680485331,79.58722408,7,0
66,3,1999,20,2,25.20000076,12,335.3999939,0.005218444,22449409.72,3949415.21,541034.01,27.30000114,221.8000031,190,372,25.80000114,270.2000122,0.0655456,541034.01,-1.351862388,127.2193875,20,1
66,4,1999,12,3,27.30000114,12,13.80000019,0.005218444,22449409.72,3949415.21,541034.01,24.89999962,228.9000092,190,372,27.30000114,35.10000229,0.0655456,541034.01,2.152868879,9.84594929,12,1
66,1,2000,5,3,28.5,12,65,0.055184997,23688280.33,4067897.64,553478.21,26.80000114,110,190,372,27.80000114,101,0.0843142,553478.21,-1.250680477,40.43826105,5,0
66,2,2000,5,2,26.30000114,12,229.3000031,0.055184997,23688280.33,4067897.64,553478.21,27.80000114,6.5,190,372,26.5,235,0.0843142,553478.21,-1.880484191,73.88722718,5,0
66,3,2000,0,1,25.70000076,12,413.5,0.055184997,23688280.33,4067897.64,553478.21,27.60000038,222.1999969,190,372,25.20000076,335.3999939,0.0843142,553478.21,-0.851862388,205.3193936,0,0
66,4,2000,[],[],27.5,[],22.10000038,0.055184997,23688280.33,4067897.64,553478.21,25.20000076,234.9000092,190,372,27.30000114,13.80000019,0.0843142,553478.21,2.352867739,18.14594948,0,0
66,1,2001,[],[],28.5,[],48.79999924,0.066668482,25267542.02,4222477.41,570082.86,27.20000076,53,190,372,28.5,65,0.090268,570082.86,-1.250680477,24.23826029,0,0
66,2,2001,[],[],26.30000114,[],188.4000092,0.066668482,25267542.02,4222477.41,570082.86,28.39999962,7.400000095,190,372,26.30000114,229.3000031,0.090268,570082.86,-1.880484191,32.98723328,0,0
66,3,2001,[],[],25.30000114,[],313.8999939,0.066668482,25267542.02,4222477.41,570082.86,27.60000038,239,190,372,25.70000076,413.5,0.090268,570082.86,-1.251862008,105.7193875,0,0
66,4,2001,[],[],28.10000038,[],24,0.066668482,25267542.02,4222477.41,570082.86,25,40.70000076,190,372,27.5,22.10000038,0.090268,570082.86,2.952868119,20.0459491,0,0
66,1,2002,[],[],28.5,[],72.30000305,0.146043815,28957710.24,6977878.78,597498.38,27.60000038,10,190,372,28.5,48.79999924,0.0877979,597498.38,-1.250680477,47.7382641,0,0
66,2,2002,[],[],26.60000038,[],333.7000122,0.146043815,28957710.24,6977878.78,597498.38,28.30000114,0,190,372,26.30000114,188.4000092,0.0877979,597498.38,-1.580484951,178.2872363,0,0
66,3,2002,[],[],25.80000114,[],249.1999969,0.146043815,28957710.24,6977878.78,597498.38,27.70000076,90.90000153,190,372,25.30000114,313.8999939,0.0877979,597498.38,-0.751862008,41.01939047,0,0
66,4,2002,0,1,27.5,12,2.400000095,0.146043815,28957710.24,6977878.78,597498.38,25.60000038,142.3000031,190,372,28.10000038,24,0.0877979,597498.38,2.352867739,-1.554050805,0,0
66,1,2003,51,7,28.89999962,12,37.90000153,0.095026061,31709447.39,7493024.2,622559.31,27.39999962,83,190,372,28.5,72.30000305,0.0840247,622559.31,-0.850680857,13.33826258,51,1
66,2,2003,0,2,26.20000076,12,214.5,0.095026061,31709447.39,7493024.2,622559.31,28.80000114,68.20000458,190,372,26.60000038,333.7000122,0.0840247,622559.31,-1.980484571,59.08722408,0,0
66,3,2003,[],[],26.10000038,[],425.6000061,0.095026061,31709447.39,7493024.2,622559.31,27.70000076,114,190,372,25.80000114,249.1999969,0.0840247,622559.31,-0.451862768,217.4193997,0,0
66,4,2003,24,2,27.60000038,12,8.699999809,0.095026061,31709447.39,7493024.2,622559.31,25.70000076,536.5,190,372,27.5,2.400000095,0.0840247,622559.31,2.452868119,4.745948909,24,1
66,1,2004,[],[],28.60000038,[],39.79999924,0.104420038,35020549.08,7956655.07,663025.91,27.39999962,145.1999969,190,372,28.89999962,37.90000153,0.0891343,663025.91,-1.150680097,15.23826029,0,0
66,2,2004,0,1,25.89999962,12,196,0.104420038,35020549.08,7956655.07,663025.91,28.30000114,30.5,190,372,26.20000076,214.5,0.0891343,663025.91,-2.280485711,40.58722408,0,0
66,3,2004,0,1,26,12,974.7999878,0.104420038,35020549.08,7956655.07,663025.91,26.80000114,351.1000061,190,372,26.10000038,425.6000061,0.0891343,663025.91,-0.551863148,766.6193814,0,0
66,4,2004,[],[],28,[],46.40000153,0.104420038,35020549.08,7956655.07,663025.91,25.5,146.3000031,190,372,27.60000038,8.699999809,0.0891343,663025.91,2.852867739,42.44595063,0,0
66,1,2005,0,1,28.60000038,12,182.4000092,0.070084569,37500000,8524146.88,707871.01,27.39999962,169,190,372,28.60000038,39.79999924,0.0882694,707871.01,-1.150680097,157.8382702,0,0
66,2,2005,[],[],26.10000038,[],233.4000092,0.070084569,37500000,8524146.88,707871.01,29.10000038,42.90000153,190,372,25.89999962,196,0.0882694,707871.01,-2.080484951,77.98723328,0,0
